m,r1,r2,mrec_map,mrec_ml,N0
3,0.756,-0.223,3,3,0.35
3,0.642,-1.344,3,3,0.35
0,1.249,0.624,0,0,0.35
0,0.847,0.385,0,0,0.35
1,-0.941,0.301,1,1,0.35
0,0.207,1.15,1,0,0.35
1,-0.897,0.943,1,1,0.35
0,0.779,1.22,0,0,0.35
1,-0.473,0.599,1,1,0.35
1,-0.153,0.04,1,1,0.35
3,0.201,-0.809,3,3,0.35
0,1.12,-0.71,3,3,0.35
3,1.275,-0.99,3,3,0.35
3,0.594,-0.595,3,3,0.35
3,0.653,-0.122,3,3,0.35
1,-1.083,1.116,1,1,0.35
3,0.841,-1.083,3,3,0.35
3,0.657,-1.232,3,3,0.35
2,-0.868,-1.075,2,2,0.35
3,1.497,-0.844,3,3,0.35
1,-0.505,0.616,1,1,0.35
1,-0.606,0.656,1,1,0.35
1,-0.933,0.518,1,1,0.35
0,0.682,0.887,0,0,0.35
3,1.526,-0.77,3,3,0.35
3,1.24,-0.609,3,3,0.35
1,-1.18,-0.001,1,2,0.35
2,-0.437,-0.239,2,2,0.35
1,-0.769,1.101,1,1,0.35
2,-0.92,-1.36,2,2,0.35
1,0.06,0.799,1,0,0.35
3,0.642,-1.114,3,3,0.35
2,-0.455,-0.32,2,2,0.35
3,0.163,-1.387,3,3,0.35
2,-0.957,-0.594,2,2,0.35
2,0.151,-0.916,3,3,0.35
3,0.949,0.028,3,0,0.35
1,-0.363,0.774,1,1,0.35
2,-0.593,-0.988,2,2,0.35
2,-0.93,-1.148,2,2,0.35
3,0.696,0.081,3,0,0.35
3,0.75,-0.884,3,3,0.35
1,-0.457,0.7,1,1,0.35
3,0.483,-1.104,3,3,0.35
3,0.298,-0.835,3,3,0.35
1,-0.359,1.78,1,1,0.35
3,0.507,-1.674,3,3,0.35
2,-0.801,-0.468,2,2,0.35
3,0.172,-0.737,3,3,0.35
0,1.866,0.901,0,0,0.35
1,-0.391,0.628,1,1,0.35
3,0.387,-0.616,3,3,0.35
3,-0.548,-0.57,2,2,0.35
2,-1.023,-1.22,2,2,0.35
3,0.371,-0.616,3,3,0.35
3,-0.146,-0.274,2,2,0.35
1,-0.217,0.517,1,1,0.35
1,0.176,0.837,1,0,0.35
1,-0.754,0.826,1,1,0.35
3,1.205,-0.249,3,3,0.35
1,-0.641,0.472,1,1,0.35
2,-0.182,-0.564,2,2,0.35
3,0.318,-1.411,3,3,0.35
3,0.011,-1.701,3,3,0.35
1,-0.041,1.116,1,1,0.35
2,-0.856,-0.672,2,2,0.35
0,0.715,1.189,0,0,0.35
1,-0.848,-0.27,2,2,0.35
3,0.098,-0.62,3,3,0.35
1,-0.602,0.376,1,1,0.35
1,-1.047,0.833,1,1,0.35
1,-0.591,1.085,1,1,0.35
3,0.391,-0.762,3,3,0.35
1,-1.157,1.099,1,1,0.35
3,0.48,-0.528,3,3,0.35
3,1.085,-0.737,3,3,0.35
2,-1.675,-0.5,2,2,0.35
1,-0.576,1.421,1,1,0.35
1,-0.321,0.628,1,1,0.35
3,0.124,-0.372,3,3,0.35
1,-1.303,0.959,1,1,0.35
2,-0.539,-0.672,2,2,0.35
1,-0.481,0.856,1,1,0.35
1,-1.209,1.077,1,1,0.35
3,0.202,-0.989,3,3,0.35
2,-0.401,0.017,1,1,0.35
0,0.963,0.172,3,0,0.35
3,0.423,-0.572,3,3,0.35
1,-1.259,0.417,1,1,0.35
1,-0.606,0.91,1,1,0.35
0,1.198,0.538,0,0,0.35
3,0.728,-0.64,3,3,0.35
1,-1.627,0.54,1,1,0.35
3,0.488,-1.068,3,3,0.35
1,-0.635,0.852,1,1,0.35
1,-0.585,1.166,1,1,0.35
3,0.644,-0.177,3,3,0.35
3,1.102,-0.298,3,3,0.35
0,0.811,0.837,0,0,0.35
3,0.585,-0.361,3,3,0.35
1,-0.571,0.891,1,1,0.35
2,-0.983,0.203,1,1,0.35
2,-0.866,-0.629,2,2,0.35
3,1.313,-0.475,3,3,0.35
3,0.806,-0.465,3,3,0.35
3,0.23,-0.335,3,3,0.35
1,-0.76,1.272,1,1,0.35
2,-0.212,-0.537,2,2,0.35
2,-0.519,-0.507,2,2,0.35
3,0.756,-0.178,3,3,0.35
0,1.141,0.84,0,0,0.35
2,-0.713,0.622,1,1,0.35
1,-0.413,0.524,1,1,0.35
1,-1.092,1.133,1,1,0.35
1,-0.961,0.684,1,1,0.35
1,-0.752,0.221,1,1,0.35
3,0.819,-0.526,3,3,0.35
1,-0.666,0.622,1,1,0.35
3,0.491,-1.48,3,3,0.35
1,-0.45,0.746,1,1,0.35
0,0.933,0.149,3,0,0.35
1,-0.556,0.884,1,1,0.35
3,0.391,-0.823,3,3,0.35
