m,r1,r2,mrec_map,mrec_ml,N0
3,1.307,-1.518,3,3,0.8
3,0.975,-0.675,3,3,0.8
3,0.917,-0.929,3,3,0.8
1,-1.509,0.935,1,1,0.8
2,-0.818,-0.845,2,2,0.8
3,0.714,-0.257,3,3,0.8
1,-1.066,1.346,1,1,0.8
2,-0.714,-1.468,2,2,0.8
1,-1.252,0.504,1,1,0.8
1,-1.942,1.207,1,1,0.8
2,0.788,-0.826,3,3,0.8
1,-1.81,1.805,1,1,0.8
2,-0.712,-0.294,1,2,0.8
3,-0.14,-0.12,1,2,0.8
2,0.456,-1.279,3,3,0.8
1,-0.623,0.308,1,1,0.8
0,-0.107,1.757,1,1,0.8
3,1.073,-0.616,3,3,0.8
0,0.931,0.462,3,0,0.8
3,1.116,-1.505,3,3,0.8
1,-0.168,0.856,1,1,0.8
3,0.389,0.726,1,0,0.8
3,1.134,0.579,0,0,0.8
1,-1.97,1.111,1,1,0.8
1,-0.679,1.621,1,1,0.8
3,1.211,-0.284,3,3,0.8
2,1.023,-0.64,3,3,0.8
2,-0.099,-0.722,3,2,0.8
3,0.137,-0.478,3,3,0.8
3,0.417,-0.969,3,3,0.8
2,0.204,-1.019,3,3,0.8
1,0.859,0.706,0,0,0.8
1,-2.012,2.31,1,1,0.8
1,-0.887,0.645,1,1,0.8
1,-0.043,1.072,1,1,0.8
3,-0.294,-0.778,3,2,0.8
3,0.891,-0.055,3,3,0.8
2,-0.927,-0.654,2,2,0.8
3,2.198,-1.704,3,3,0.8
0,0.362,0.522,1,0,0.8
1,-2.113,0.642,1,1,0.8
0,0.721,0.779,0,0,0.8
2,-0.31,-0.44,3,2,0.8
1,-1.82,1.231,1,1,0.8
1,-0.419,-0.209,1,2,0.8
1,0.284,1.162,1,0,0.8
3,0.387,-0.107,3,3,0.8
3,0.669,-0.84,3,3,0.8
3,0.359,-0.497,3,3,0.8
1,-0.915,0.288,1,1,0.8
2,-0.437,-0.876,2,2,0.8
0,0.301,1.295,1,0,0.8
1,-0.778,1.366,1,1,0.8
2,-0.891,-1.473,2,2,0.8
1,-0.335,-0.332,2,2,0.8
3,0.846,-0.429,3,3,0.8
1,-1.039,0.473,1,1,0.8
1,-0.864,1.071,1,1,0.8
3,0.228,-0.31,3,3,0.8
3,0.216,0.66,1,0,0.8
1,-0.898,0.924,1,1,0.8
0,0.084,0.78,1,0,0.8
3,-0.133,0.118,1,1,0.8
3,0.394,-0.181,3,3,0.8
2,-1.216,-0.184,1,2,0.8
1,-0.606,0.375,1,1,0.8
3,0.58,0.408,3,0,0.8
1,-1.872,1.29,1,1,0.8
3,0.099,0.312,1,0,0.8
3,1.284,-1.008,3,3,0.8
0,0.587,0.312,3,0,0.8
3,0.994,0.555,0,0,0.8
1,-0.643,0.203,1,1,0.8
0,-0.504,1.65,1,1,0.8
1,-0.543,-0.496,2,2,0.8
3,1.292,-0.712,3,3,0.8
2,-0.473,-0.806,2,2,0.8
