m,r1,r2,mrec_map,mrec_ml,N0
1,-0.136,-0.972,3,2,0.75
1,-0.326,0.231,1,1,0.75
3,0.605,-0.264,3,3,0.75
2,-0.67,-0.267,1,2,0.75
1,0.055,1.886,1,0,0.75
1,-0.271,1.893,1,1,0.75
3,0.406,-1.48,3,3,0.75
3,0.599,-0.078,3,3,0.75
1,-0.753,0.001,1,1,0.75
1,-0.526,0.908,1,1,0.75
3,0.054,-0.707,3,3,0.75
1,-1.458,0.239,1,1,0.75
3,0.685,-0.747,3,3,0.75
3,0.133,-0.548,3,3,0.75
3,0.956,-1.132,3,3,0.75
1,1.221,1.586,0,0,0.75
1,-0.41,1.672,1,1,0.75
1,-0.703,1.945,1,1,0.75
1,-1.07,0.63,1,1,0.75
3,0.538,-0.858,3,3,0.75
3,1.083,-0.91,3,3,0.75
2,-1.137,-1.21,2,2,0.75
3,-0.928,-0.992,2,2,0.75
3,-0.002,-0.647,3,2,0.75
2,-0.238,-0.407,3,2,0.75
2,-0.298,-0.882,2,2,0.75
1,-0.967,1.208,1,1,0.75
3,1.248,-0.951,3,3,0.75
2,-1.924,-0.014,1,2,0.75
1,-0.457,1.769,1,1,0.75
1,-0.79,-1.147,2,2,0.75
2,-0.943,-1.162,2,2,0.75
2,0.752,-1.742,3,3,0.75
3,0.473,-1.165,3,3,0.75
3,-0.138,-0.186,3,2,0.75
3,-0.052,-0.042,1,2,0.75
3,-0.123,-1.24,3,2,0.75
3,0.396,-1.012,3,3,0.75
3,0.329,-1.415,3,3,0.75
1,-0.782,0.695,1,1,0.75
1,-0.003,1.151,1,1,0.75
2,-0.25,-0.786,3,2,0.75
1,-1.003,1.005,1,1,0.75
1,-0.148,-0.145,1,2,0.75
1,-0.456,1.363,1,1,0.75
3,0.138,-0.536,3,3,0.75
1,-1.769,0.792,1,1,0.75
1,-0.731,1.397,1,1,0.75
1,-0.266,0.214,1,1,0.75
1,-0.401,0.233,1,1,0.75
2,-0.528,-1.32,2,2,0.75
3,1.197,-1.308,3,3,0.75
3,0.892,-1.018,3,3,0.75
3,0.52,-2.602,3,3,0.75
2,0.485,1.264,0,0,0.75
3,0.637,-1.101,3,3,0.75
1,-1.454,0.957,1,1,0.75
0,0.435,0.072,3,0,0.75
1,-1.073,0.412,1,1,0.75
3,0.977,-0.519,3,3,0.75
1,-1.062,0.163,1,1,0.75
1,-1.153,0.192,1,1,0.75
3,0.686,-0.106,3,3,0.75
1,-0.768,1.076,1,1,0.75
2,-1.065,-1.996,2,2,0.75
1,-0.226,-0.065,1,2,0.75
1,-0.299,0.407,1,1,0.75
1,-1.043,0.763,1,1,0.75
2,-1.1,-1.031,2,2,0.75
3,0.943,-0.81,3,3,0.75
1,-0.446,0.1,1,1,0.75
2,-1.196,-0.38,2,2,0.75
1,-0.229,1.391,1,1,0.75
3,0.941,-0.511,3,3,0.75
2,-0.826,-0.288,1,2,0.75
2,-0.282,-0.586,3,2,0.75
1,-1.58,1.13,1,1,0.75
1,-0.549,0.34,1,1,0.75
1,-0.677,-0.445,2,2,0.75
1,-0.354,1.233,1,1,0.75
3,0.966,-1.417,3,3,0.75
1,-1.104,0.97,1,1,0.75
1,-0.631,0.912,1,1,0.75
1,-0.118,1.105,1,1,0.75
2,-0.843,-1.982,2,2,0.75
2,0.151,-0.534,3,3,0.75
3,-0.418,-0.024,1,2,0.75
1,-1.391,0.535,1,1,0.75
3,1.893,-0.094,3,3,0.75
2,-0.457,-0.768,2,2,0.75
1,-0.336,1.192,1,1,0.75
0,0.627,1.087,0,0,0.75
0,1.407,0.294,3,0,0.75
1,-1.611,0.427,1,1,0.75
0,-0.348,1.5,1,1,0.75
1,-0.051,0.441,1,1,0.75
1,-0.432,0.281,1,1,0.75
1,-0.492,-0.211,1,2,0.75
1,-0.725,1.031,1,1,0.75
1,-0.569,1,1,1,0.75
1,-1.386,0.438,1,1,0.75
3,2.092,-1.705,3,3,0.75
2,-0.412,0.32,1,1,0.75
1,-0.241,0.629,1,1,0.75
3,-0.181,0.311,1,1,0.75
1,-0.673,0.755,1,1,0.75
3,0.69,-0.746,3,3,0.75
1,-1.209,0.707,1,1,0.75
2,-0.458,-0.567,2,2,0.75
1,-0.115,1.147,1,1,0.75
1,-1.241,-0.189,1,2,0.75
2,-0.703,-0.325,2,2,0.75
1,-0.176,1.074,1,1,0.75
1,-0.202,0.699,1,1,0.75
0,-0.219,0.985,1,1,0.75
1,-0.734,0.517,1,1,0.75
3,2.066,-1.619,3,3,0.75
1,-0.628,0.802,1,1,0.75
1,0.673,1.068,0,0,0.75
1,-0.623,0.397,1,1,0.75
3,-0.188,-1.431,3,2,0.75
2,-1.356,-1.02,2,2,0.75
3,0.485,-0.42,3,3,0.75
3,-0.009,-1.766,3,2,0.75
3,0.081,-0.543,3,3,0.75
3,0.749,-0.959,3,3,0.75
1,-1.493,0.614,1,1,0.75
1,-0.889,-0.162,1,2,0.75
1,-0.096,1.133,1,1,0.75
3,0.001,-0.833,3,3,0.75
3,1.57,0.016,3,0,0.75
1,-0.729,0.368,1,1,0.75
1,0.036,1.51,1,0,0.75
3,1.668,-0.131,3,3,0.75
1,-1.099,1.114,1,1,0.75
3,0.279,-1.049,3,3,0.75
3,0.526,-0.124,3,3,0.75
1,0.222,-0.709,3,3,0.75
1,-0.259,1.668,1,1,0.75
1,-0.806,0.25,1,1,0.75
1,-0.013,1.337,1,1,0.75
1,-0.737,1.363,1,1,0.75
2,0.886,0.103,3,0,0.75
3,-0.215,-1.194,3,2,0.75
3,1.115,-0.966,3,3,0.75
1,-0.9,1.256,1,1,0.75
1,-1.321,0.562,1,1,0.75
1,0.328,1.635,1,0,0.75
0,-1.213,0.582,1,1,0.75
3,0.129,0.001,3,0,0.75
3,0.344,-0.542,3,3,0.75
1,-0.606,1.021,1,1,0.75
3,0.505,-1.569,3,3,0.75
2,-1.195,-0.469,2,2,0.75
1,-0.215,1.416,1,1,0.75
1,-0.429,0.168,1,1,0.75
1,-0.13,0.151,1,1,0.75
1,-0.284,1.447,1,1,0.75
1,-0.249,-0.236,1,2,0.75
1,-0.471,1.234,1,1,0.75
3,1.052,-0.166,3,3,0.75
1,-1.136,0.802,1,1,0.75
2,-0.708,-1.812,2,2,0.75
1,-0.439,0.03,1,1,0.75
1,-0.798,0.83,1,1,0.75
1,-0.859,0.457,1,1,0.75
1,-0.853,1.355,1,1,0.75
3,0.649,-0.731,3,3,0.75
0,0.311,0.156,3,0,0.75
1,-0.837,0.717,1,1,0.75
1,-0.51,0.794,1,1,0.75
1,-0.758,1.522,1,1,0.75
2,-0.595,-0.34,2,2,0.75
1,-0.388,2.025,1,1,0.75
2,-0.411,-0.37,2,2,0.75
1,0.06,1.126,1,0,0.75
3,0.999,0.182,3,0,0.75
3,0.052,-0.786,3,3,0.75
3,0.995,-1.474,3,3,0.75
3,1.225,-2.035,3,3,0.75
2,-0.635,-0.48,2,2,0.75
3,0.901,0.006,3,0,0.75
1,-0.302,0.826,1,1,0.75
1,-0.528,-0.271,1,2,0.75
1,-0.929,1.121,1,1,0.75
3,0.93,-1.34,3,3,0.75
1,-1.371,0.928,1,1,0.75
2,-0.252,-0.674,3,2,0.75
0,0.987,2.258,0,0,0.75
1,-0.977,0.496,1,1,0.75
1,-0.888,0.199,1,1,0.75
0,0.639,0.701,0,0,0.75
1,-0.884,0.873,1,1,0.75
1,-1.556,1.083,1,1,0.75
1,-1.271,1.418,1,1,0.75
1,-1.103,1.411,1,1,0.75
1,-1.009,1.62,1,1,0.75
0,0.109,1.201,1,0,0.75
3,0.391,0.65,1,0,0.75
3,1.386,-1.559,3,3,0.75
1,-0.212,-0.456,3,2,0.75
3,0.418,-0.127,3,3,0.75
2,-1.024,-0.296,2,2,0.75
3,0.111,-0.677,3,3,0.75
1,-0.917,0.989,1,1,0.75
1,-0.265,1.263,1,1,0.75
3,0.853,-0.675,3,3,0.75
1,-0.846,1.119,1,1,0.75
1,-0.934,1.186,1,1,0.75
3,1.359,-0.304,3,3,0.75
1,-1.626,0.546,1,1,0.75
3,0.693,-0.093,3,3,0.75
1,-0.293,-0.225,1,2,0.75
3,0.83,-0.773,3,3,0.75
2,-1.488,-1.778,2,2,0.75
3,1.262,-0.57,3,3,0.75
1,-0.579,0.865,1,1,0.75
3,0.577,-0.453,3,3,0.75
3,0.605,-1.18,3,3,0.75
3,0.566,-0.933,3,3,0.75
3,1.217,-0.622,3,3,0.75
1,-0.956,0.672,1,1,0.75
1,0.041,2.634,1,0,0.75
1,-1.874,0.739,1,1,0.75
1,-1.537,0.508,1,1,0.75
2,-0.648,-1.318,2,2,0.75
1,-1.091,2.455,1,1,0.75
3,0.564,-2.143,3,3,0.75
3,0.447,-1.125,3,3,0.75
3,0.706,-1.744,3,3,0.75
1,0.231,0.367,1,0,0.75
1,-0.356,0.659,1,1,0.75
3,0.325,-0.584,3,3,0.75
1,-1.696,0.856,1,1,0.75
2,-0.933,0.568,1,1,0.75
3,0.775,-1.648,3,3,0.75
3,0.155,-0.32,3,3,0.75
1,-2.084,0.358,1,1,0.75
1,-1.183,1.525,1,1,0.75
1,-0.44,0.031,1,1,0.75
3,0.678,-0.934,3,3,0.75
2,-0.152,-0.803,3,2,0.75
3,1.122,-1.414,3,3,0.75
2,-1.41,-0.623,2,2,0.75
1,-0.993,0.579,1,1,0.75
1,-1.484,0.381,1,1,0.75
1,-1.834,0.442,1,1,0.75
1,-0.944,0.156,1,1,0.75
3,1.027,-0.459,3,3,0.75
3,0.583,-0.904,3,3,0.75
2,-0.213,-0.446,3,2,0.75
1,-0.558,0.778,1,1,0.75
3,0.488,-0.816,3,3,0.75
2,0.14,-0.719,3,3,0.75
3,0.521,-1.522,3,3,0.75
3,0.459,-1.039,3,3,0.75
1,-1.158,0.342,1,1,0.75
3,0.462,-1.164,3,3,0.75
3,0.484,0.592,0,0,0.75
3,1.053,-0.999,3,3,0.75
0,1.069,1.209,0,0,0.75
3,1.168,-0.649,3,3,0.75
1,-1.46,1.194,1,1,0.75
1,-0.409,0.882,1,1,0.75
2,0.363,-1.545,3,3,0.75
3,0.921,-1.314,3,3,0.75
2,-0.701,-0.719,2,2,0.75
3,1.103,-0.649,3,3,0.75
1,-0.458,-0.12,1,2,0.75
3,1.343,-1.638,3,3,0.75
3,1.111,-1.671,3,3,0.75
0,1.267,1.291,0,0,0.75
2,-0.76,-1.118,2,2,0.75
2,-1.249,0.042,1,1,0.75
1,-0.343,1.456,1,1,0.75
3,0.7,-1.153,3,3,0.75
3,1.385,-0.417,3,3,0.75
3,0.475,-0.448,3,3,0.75
1,-1.265,0.798,1,1,0.75
3,0.324,0.364,1,0,0.75
3,0.457,0.972,1,0,0.75
2,-1.002,-1.373,2,2,0.75
1,-0.418,0.384,1,1,0.75
1,-1.819,1.406,1,1,0.75
1,-0.838,1.193,1,1,0.75
0,0.922,0.598,0,0,0.75
1,-0.147,1.981,1,1,0.75
2,0.056,-0.089,3,3,0.75
3,1.314,-1.423,3,3,0.75
3,0.533,-1.022,3,3,0.75
2,-0.556,1.144,1,1,0.75
3,1.39,-0.144,3,3,0.75
1,-0.475,2.237,1,1,0.75
1,-1.292,-0.127,1,2,0.75
1,-1.712,0.179,1,1,0.75
2,-1.531,-0.389,2,2,0.75
3,-0.072,-0.524,3,2,0.75
1,-0.858,0.492,1,1,0.75
1,-1.841,-0.706,2,2,0.75
1,-1.062,1.296,1,1,0.75
3,0.119,-1.05,3,3,0.75
1,-0.469,0.44,1,1,0.75
1,-0.993,0.232,1,1,0.75
0,0.936,-0.486,3,3,0.75
3,0.355,-0.314,3,3,0.75
2,-1.474,-0.88,2,2,0.75
3,0.709,-0.98,3,3,0.75
1,-0.607,-0.348,2,2,0.75
1,0.243,1.246,1,0,0.75
3,0.778,-0.429,3,3,0.75
1,-0.776,-0.02,1,2,0.75
1,-1.082,1.079,1,1,0.75
3,0.312,0.441,1,0,0.75
1,-0.209,1.396,1,1,0.75
0,0.98,0.178,3,0,0.75
3,1.672,-0.042,3,3,0.75
3,1.032,-0.387,3,3,0.75
1,1.557,1.128,0,0,0.75
1,-1.288,1.004,1,1,0.75
1,-0.355,0.888,1,1,0.75
3,0.863,0.129,3,0,0.75
1,-0.616,0.532,1,1,0.75
0,0.825,1.108,0,0,0.75
3,1.14,-0.892,3,3,0.75
2,-1.514,-0.929,2,2,0.75
3,1.114,-0.842,3,3,0.75
3,-0.507,0.644,1,1,0.75
3,0.522,-0.215,3,3,0.75
1,-0.697,1.145,1,1,0.75
3,-0.065,-0.565,3,2,0.75
1,-1.191,0.342,1,1,0.75
1,-0.925,0.65,1,1,0.75
2,-1.312,0.31,1,1,0.75
3,-0.11,-0.279,3,2,0.75
1,-1.713,0.051,1,1,0.75
3,0.715,-0.3,3,3,0.75
3,1.229,-1.109,3,3,0.75
1,-0.78,0.226,1,1,0.75
2,-0.747,-0.425,2,2,0.75
2,-0.985,-0.411,2,2,0.75
3,0.828,-1.973,3,3,0.75
1,-1.078,0.734,1,1,0.75
1,-0.748,1.685,1,1,0.75
1,-0.898,0.267,1,1,0.75
3,0.448,-0.588,3,3,0.75
2,-2.411,-0.569,2,2,0.75
1,-1.149,1.301,1,1,0.75
1,-0.958,2.212,1,1,0.75
3,-0.066,-0.412,3,2,0.75
0,0.795,1.301,0,0,0.75
3,1.396,-0.104,3,3,0.75
1,-1.179,1.4,1,1,0.75
1,-1.033,0.256,1,1,0.75
3,1.235,0.278,3,0,0.75
2,-1.554,-1.206,2,2,0.75
