m,r1,r2,mrec_map,mrec_ml,N0
1,-0.8,0.451,1,1,0.55
3,0.169,-0.374,3,3,0.55
1,-0.527,1.06,1,1,0.55
3,0.659,-1.159,3,3,0.55
1,-1.068,1.828,1,1,0.55
1,-0.919,1.051,1,1,0.55
2,-1.627,-1.533,2,2,0.55
1,-0.358,0.798,1,1,0.55
1,-1.394,1.396,1,1,0.55
1,0.247,0.417,1,0,0.55
3,0.769,-0.608,3,3,0.55
1,-1.855,0.33,1,1,0.55
1,-0.206,1.405,1,1,0.55
3,0.743,-1.345,3,3,0.55
3,0.028,0.242,1,0,0.55
0,0.432,1.027,0,0,0.55
3,0.364,-0.722,3,3,0.55
3,-0.44,-0.866,2,2,0.55
3,-0.397,-0.006,1,2,0.55
3,0.227,-1.498,3,3,0.55
3,1.139,-0.25,3,3,0.55
2,-1.591,-1.61,2,2,0.55
1,-0.593,1.156,1,1,0.55
1,-0.179,0.495,1,1,0.55
3,0.034,-0.772,3,3,0.55
3,1.205,-0.963,3,3,0.55
2,-0.929,-0.497,2,2,0.55
1,0.442,1.125,0,0,0.55
3,1.264,-0.43,3,3,0.55
0,1.091,0.899,0,0,0.55
3,0.385,-1.28,3,3,0.55
3,1.148,-0.317,3,3,0.55
2,-0.989,-0.841,2,2,0.55
3,1.08,-0.585,3,3,0.55
1,-1.619,0.89,1,1,0.55
1,-0.172,1.6,1,1,0.55
3,1.556,-0.303,3,3,0.55
3,1.085,-0.689,3,3,0.55
3,-0.031,-1.724,3,2,0.55
1,-1.427,1.159,1,1,0.55
0,1.417,0.663,0,0,0.55
3,0.838,-0.679,3,3,0.55
1,-1.128,0.727,1,1,0.55
2,-0.527,-0.669,2,2,0.55
1,-0.594,0.915,1,1,0.55
1,-0.45,1.791,1,1,0.55
2,-0.663,0.55,1,1,0.55
3,0.948,0.382,0,0,0.55
1,-1.628,0.557,1,1,0.55
3,0.635,-0.468,3,3,0.55
1,-0.131,1.223,1,1,0.55
0,0.757,1.6,0,0,0.55
3,0.933,-0.605,3,3,0.55
1,0.158,0.217,1,0,0.55
3,0.176,-0.611,3,3,0.55
1,-0.393,1.206,1,1,0.55
1,-0.766,0.535,1,1,0.55
2,-0.752,0.716,1,1,0.55
1,-0.446,-0.187,1,2,0.55
1,-0.364,1.317,1,1,0.55
3,0.436,-1.129,3,3,0.55
3,-0.121,-1.065,3,2,0.55
3,-0.189,-1.579,3,2,0.55
1,-0.042,0.367,1,1,0.55
3,0.635,-0.701,3,3,0.55
1,-1.353,1.24,1,1,0.55
1,-0.922,-0.007,1,2,0.55
1,-0.437,0.437,1,1,0.55
1,-1.061,0.114,1,1,0.55
