m,r1,r2,mrec_map,mrec_ml,N0
3,0.87,-0.434,3,3,0.6
3,1.182,-0.405,3,3,0.6
1,-0.873,-0.174,1,2,0.6
1,-0.866,-0.295,2,2,0.6
1,-0.627,-0.248,2,2,0.6
1,-0.019,-0.236,3,2,0.6
1,-0.031,0.999,1,1,0.6
1,-0.335,0.514,1,1,0.6
2,-0.82,-1.077,2,2,0.6
1,-0.871,0.85,1,1,0.6
0,1.412,0.496,0,0,0.6
3,-0.252,-0.389,2,2,0.6
1,0.612,1.042,0,0,0.6
1,-0.298,0.365,1,1,0.6
1,-0.747,1.686,1,1,0.6
2,-0.133,-0.382,3,2,0.6
3,0.277,-0.841,3,3,0.6
3,0.81,-1.286,3,3,0.6
1,-1.304,0.919,1,1,0.6
1,-0.712,0.779,1,1,0.6
3,0.263,-1.131,3,3,0.6
3,1.166,-0.794,3,3,0.6
3,0.441,-0.579,3,3,0.6
0,0.681,0.739,0,0,0.6
3,0.942,-0.441,3,3,0.6
3,1.105,-0.515,3,3,0.6
1,-1.555,1.466,1,1,0.6
3,0.549,-1.027,3,3,0.6
3,0.972,0.256,3,0,0.6
1,-0.024,2.088,1,1,0.6
3,1.091,0.53,0,0,0.6
0,-0.238,1.088,1,1,0.6
0,0.928,1.287,0,0,0.6
3,0.83,-1.225,3,3,0.6
0,0.719,0.545,0,0,0.6
1,-1.407,0.583,1,1,0.6
0,0.764,0.765,0,0,0.6
1,-0.718,1.216,1,1,0.6
1,-1.409,1.283,1,1,0.6
1,-1.259,0.26,1,1,0.6
3,-0.259,0.19,1,1,0.6
2,-0.766,-1.134,2,2,0.6
1,-1.857,0.498,1,1,0.6
1,-0.606,0.807,1,1,0.6
1,-0.954,0.951,1,1,0.6
2,-0.446,-0.685,2,2,0.6
3,1.639,-1.676,3,3,0.6
2,-1.425,-1.193,2,2,0.6
1,-0.843,0.601,1,1,0.6
2,0.177,-0.854,3,3,0.6
3,-0.048,-0.784,3,2,0.6
1,-0.839,0.618,1,1,0.6
3,1.247,-0.183,3,3,0.6
1,0.171,1.766,1,0,0.6
1,-0.611,-0.559,2,2,0.6
3,1.305,-0.14,3,3,0.6
3,0.803,-0.761,3,3,0.6
3,-0.002,-0.705,3,2,0.6
3,1.129,-0.619,3,3,0.6
2,-1.345,-0.549,2,2,0.6
1,-1.27,0.854,1,1,0.6
1,-1.065,0.151,1,1,0.6
3,-0.207,-0.67,3,2,0.6
3,0.317,0.125,3,0,0.6
3,0.177,-1.537,3,3,0.6
3,0.62,-0.947,3,3,0.6
1,-0.485,0.897,1,1,0.6
0,0.521,0.537,0,0,0.6
0,0.914,1.753,0,0,0.6
3,0.896,-0.123,3,3,0.6
1,-0.659,0.086,1,1,0.6
3,0.848,-0.977,3,3,0.6
1,0.194,0.667,1,0,0.6
1,-0.754,0.52,1,1,0.6
3,0.467,-0.932,3,3,0.6
3,-0.044,-1.596,3,2,0.6
2,-1.142,-0.817,2,2,0.6
1,-0.59,0.748,1,1,0.6
1,-1.121,1.501,1,1,0.6
3,0.029,-0.188,3,3,0.6
0,0.658,0.655,0,0,0.6
1,-0.648,0.406,1,1,0.6
3,0.831,-1.17,3,3,0.6
1,-0.288,0.678,1,1,0.6
3,1.194,0.16,3,0,0.6
1,-0.923,0.374,1,1,0.6
2,0.049,-0.4,3,3,0.6
2,-1.611,-0.86,2,2,0.6
1,-0.633,0.64,1,1,0.6
1,-0.724,0.824,1,1,0.6
2,-0.765,-0.363,2,2,0.6
1,-1.316,0.48,1,1,0.6
1,-1.012,0.38,1,1,0.6
3,0.393,-0.462,3,3,0.6
3,-0.066,-0.466,3,2,0.6
1,-0.279,1.825,1,1,0.6
1,-0.186,0.868,1,1,0.6
1,0.055,0.595,1,0,0.6
3,1.679,0.357,3,0,0.6
0,0.428,0.459,0,0,0.6
3,-0.064,-0.767,3,2,0.6
1,-0.799,0.451,1,1,0.6
3,1.267,-0.731,3,3,0.6
1,0.625,1.054,0,0,0.6
3,0.875,-0.003,3,3,0.6
