m,r1,r2,mrec_map,mrec_ml,N0
1,-0.639,0.74,1,1,0.3
3,0.32,-0.735,3,3,0.3
3,0.458,-0.472,3,3,0.3
1,-0.722,0.687,1,1,0.3
1,-0.893,-0.369,2,2,0.3
1,-0.312,0.657,1,1,0.3
1,-0.858,0.704,1,1,0.3
1,-0.759,0.497,1,1,0.3
3,1.536,0.51,0,0,0.3
1,-1.144,-0.011,1,2,0.3
2,-0.325,-0.075,1,2,0.3
3,0.38,-0.259,3,3,0.3
1,-0.875,0.758,1,1,0.3
0,0.79,0.727,0,0,0.3
3,0.431,-0.71,3,3,0.3
2,-0.889,-0.282,2,2,0.3
3,0.605,-1.229,3,3,0.3
3,0.718,-0.054,3,3,0.3
1,-0.634,-0.004,1,2,0.3
2,-0.405,-1.069,2,2,0.3
3,0.583,-0.788,3,3,0.3
3,0.563,-0.565,3,3,0.3
3,0.499,-0.94,3,3,0.3
2,-0.51,-0.987,2,2,0.3
1,-0.623,0.399,1,1,0.3
3,0.984,-0.347,3,3,0.3
3,0.832,-0.254,3,3,0.3
3,1.242,-0.463,3,3,0.3
1,-0.992,-0.299,2,2,0.3
0,0.637,0.882,0,0,0.3
1,-0.283,0.656,1,1,0.3
1,-0.949,0.121,1,1,0.3
0,0.029,1.018,1,0,0.3
0,1.402,0.494,0,0,0.3
1,-1.252,0.561,1,1,0.3
1,-0.453,1.186,1,1,0.3
2,-1.321,-1.027,2,2,0.3
2,-1.036,-0.815,2,2,0.3
0,0.873,0.416,0,0,0.3
2,-0.825,-0.967,2,2,0.3
0,0.247,1.184,0,0,0.3
2,-0.266,-0.27,2,2,0.3
2,-0.851,-0.692,2,2,0.3
0,1.297,0.755,0,0,0.3
1,-0.698,0.733,1,1,0.3
1,-1.019,0.92,1,1,0.3
3,0.256,-0.698,3,3,0.3
0,1.289,0.031,3,0,0.3
1,-1.386,0.852,1,1,0.3
1,-1,1.044,1,1,0.3
1,-0.955,0.955,1,1,0.3
1,-1.362,0.726,1,1,0.3
3,1.417,-0.198,3,3,0.3
1,-0.472,1.076,1,1,0.3
3,0.906,-1.072,3,3,0.3
1,-1.221,0.685,1,1,0.3
3,0.226,-1.355,3,3,0.3
3,0.865,-0.514,3,3,0.3
0,1.64,-0.285,3,3,0.3
3,0.225,-1.539,3,3,0.3
3,0.755,0.307,0,0,0.3
2,-0.608,-0.419,2,2,0.3
3,1.301,-1.141,3,3,0.3
3,0.899,-0.479,3,3,0.3
1,-0.722,0.383,1,1,0.3
3,0.216,-0.752,3,3,0.3
1,-0.341,0.261,1,1,0.3
3,0.867,-1.721,3,3,0.3
1,-0.838,0.463,1,1,0.3
3,0.746,-0.815,3,3,0.3
1,-0.793,1.046,1,1,0.3
1,-0.827,0.743,1,1,0.3
1,-0.971,1.277,1,1,0.3
3,1.052,-0.079,3,3,0.3
1,-0.999,0.233,1,1,0.3
1,-0.779,0.891,1,1,0.3
3,1.257,-0.712,3,3,0.3
2,-0.977,-0.968,2,2,0.3
3,0.385,-0.407,3,3,0.3
1,-0.301,1.282,1,1,0.3
1,-0.15,0.988,1,1,0.3
1,-0.691,0.659,1,1,0.3
1,-0.02,0.735,1,1,0.3
1,-0.712,0.811,1,1,0.3
1,-0.433,0.551,1,1,0.3
3,-0.018,-1.005,3,2,0.3
3,0.384,-1.008,3,3,0.3
1,-1.141,1.325,1,1,0.3
1,-0.649,0.667,1,1,0.3
1,-1.211,1.13,1,1,0.3
3,0.517,-0.539,3,3,0.3
3,0.509,-1.43,3,3,0.3
3,0.974,-0.595,3,3,0.3
3,0.579,0.059,3,0,0.3
1,-1.238,0.721,1,1,0.3
1,-0.008,0.87,1,1,0.3
3,0.122,-1.56,3,3,0.3
1,-0.899,0.289,1,1,0.3
3,0.812,-0.441,3,3,0.3
1,-0.744,0.683,1,1,0.3
1,-1.042,0.995,1,1,0.3
3,0.168,-0.589,3,3,0.3
3,1.158,-0.822,3,3,0.3
3,0.422,0.097,3,0,0.3
3,-0.328,-0.767,2,2,0.3
2,-0.595,-0.515,2,2,0.3
3,1.055,-0.564,3,3,0.3
0,0.833,0.474,0,0,0.3
1,-0.842,1.066,1,1,0.3
1,-1.071,0.967,1,1,0.3
2,-0.69,-1.225,2,2,0.3
2,-0.479,-1.167,2,2,0.3
3,0.625,-0.955,3,3,0.3
1,-1.507,1.033,1,1,0.3
1,-0.699,0.635,1,1,0.3
1,-0.638,0.425,1,1,0.3
3,0.802,-0.332,3,3,0.3
1,-0.882,0.137,1,1,0.3
3,0.855,-0.592,3,3,0.3
2,-0.528,-0.768,2,2,0.3
3,1.234,-0.934,3,3,0.3
3,0.866,-0.949,3,3,0.3
2,-0.8,-0.16,2,2,0.3
1,-0.892,0.977,1,1,0.3
3,0.444,-0.779,3,3,0.3
3,0.73,-0.051,3,3,0.3
1,-1.701,0.624,1,1,0.3
3,0.753,-0.549,3,3,0.3
1,-0.31,0.946,1,1,0.3
0,0.523,1.36,0,0,0.3
3,0.782,-0.638,3,3,0.3
1,-0.252,0.674,1,1,0.3
1,-0.817,0.476,1,1,0.3
3,0.297,-0.885,3,3,0.3
3,0.173,0.069,3,0,0.3
1,-0.768,-0.033,1,2,0.3
1,-0.987,0.533,1,1,0.3
3,1.143,-0.609,3,3,0.3
1,-0.899,0.674,1,1,0.3
1,-0.748,0.285,1,1,0.3
