m,r1,r2,mrec_map,mrec_ml,N0
3,1.089,-0.993,3,3,0.65
3,1.035,0.598,0,0,0.65
1,-1.195,1.685,1,1,0.65
1,-0.949,1.027,1,1,0.65
1,0.068,1.093,1,0,0.65
0,0.699,0.949,0,0,0.65
1,-1.767,0.643,1,1,0.65
1,-1.169,0.734,1,1,0.65
2,1.195,-0.891,3,3,0.65
2,-1.392,-0.789,2,2,0.65
3,-0.322,-0.931,2,2,0.65
1,-1.138,0.562,1,1,0.65
3,1.491,0.16,3,0,0.65
3,-0.488,-1.112,2,2,0.65
3,1.535,-1.006,3,3,0.65
2,-1.393,-0.055,1,2,0.65
1,-1.023,0.607,1,1,0.65
3,1.264,0.169,3,0,0.65
3,0.735,-0.625,3,3,0.65
1,0.498,1.083,0,0,0.65
1,-0.903,-0.551,2,2,0.65
1,-0.942,0.932,1,1,0.65
3,0.647,-0.737,3,3,0.65
1,-1.035,0.603,1,1,0.65
1,-1.33,0.266,1,1,0.65
3,0.602,-0.264,3,3,0.65
3,-0.549,-1.445,2,2,0.65
0,0.46,0.253,3,0,0.65
1,-0.662,0.166,1,1,0.65
2,-0.306,-0.218,1,2,0.65
3,1.35,-0.846,3,3,0.65
3,0.102,-0.987,3,3,0.65
3,-0.06,-1.017,3,2,0.65
3,0.16,-1.09,3,3,0.65
2,-0.654,-1.692,2,2,0.65
1,-0.804,1.487,1,1,0.65
0,0.874,1.517,0,0,0.65
1,-1.047,1.523,1,1,0.65
1,-0.676,0.471,1,1,0.65
1,-1.411,0.142,1,1,0.65
3,0.612,-0.714,3,3,0.65
3,0.506,-1.015,3,3,0.65
1,-0.572,0.122,1,1,0.65
1,-1.155,0.971,1,1,0.65
3,0.699,-0.628,3,3,0.65
1,-0.44,0.937,1,1,0.65
3,0.235,-0.63,3,3,0.65
1,-0.701,0.037,1,1,0.65
1,-0.785,1.429,1,1,0.65
3,-0.43,-0.968,2,2,0.65
3,1.435,-1.191,3,3,0.65
1,-0.197,0.349,1,1,0.65
3,0.289,-1.281,3,3,0.65
1,-0.433,0.896,1,1,0.65
0,0.569,0.627,0,0,0.65
3,0.877,-0.649,3,3,0.65
3,0.176,-0.267,3,3,0.65
3,1.101,-0.183,3,3,0.65
3,0.75,-1.245,3,3,0.65
1,-1.497,1.16,1,1,0.65
1,-1.001,-0.506,2,2,0.65
1,-0.998,1.101,1,1,0.65
3,0.704,-0.885,3,3,0.65
3,-0.107,0.071,1,1,0.65
3,0.976,-0.902,3,3,0.65
3,0.834,-0.372,3,3,0.65
2,-0.969,-0.939,2,2,0.65
3,0.72,-1.441,3,3,0.65
3,1.105,-0.54,3,3,0.65
3,-0.939,-0.501,2,2,0.65
3,-0.272,-0.27,2,2,0.65
3,0.872,-0.546,3,3,0.65
1,0.805,0.879,0,0,0.65
3,0.711,0.016,3,0,0.65
3,1.003,-0.457,3,3,0.65
0,-0.265,1.28,1,1,0.65
1,-1.403,1.495,1,1,0.65
1,-0.876,0.603,1,1,0.65
1,-0.653,-0.091,1,2,0.65
1,-1.317,0.05,1,1,0.65
3,0.704,0.44,0,0,0.65
1,-1.085,1.484,1,1,0.65
3,0.038,-1.238,3,3,0.65
3,1.874,-0.234,3,3,0.65
3,0.361,-0.881,3,3,0.65
3,-0.072,-0.458,3,2,0.65
1,-0.63,-0.411,2,2,0.65
2,-0.583,-1.645,2,2,0.65
1,0.063,0.976,1,0,0.65
1,-1.146,1.322,1,1,0.65
3,1.302,-0.579,3,3,0.65
1,-0.933,-0.058,1,2,0.65
3,1.634,-0.924,3,3,0.65
2,-0.439,-2.564,2,2,0.65
1,-0.15,1.572,1,1,0.65
3,0.507,-0.708,3,3,0.65
3,1.351,-0.153,3,3,0.65
3,0.431,-0.475,3,3,0.65
3,1.099,-0.432,3,3,0.65
3,1.039,0.103,3,0,0.65
0,1.403,0.037,3,0,0.65
3,1.299,-0.547,3,3,0.65
1,0.136,0.219,1,0,0.65
3,0.264,-1.158,3,3,0.65
