m,r1,r2,mrec_map,mrec_ml,N0
1,0.287,0.441,1,0,0.5
1,-1.257,0.858,1,1,0.5
1,-0.856,0.95,1,1,0.5
3,0.785,-0.339,3,3,0.5
3,-0.298,-0.911,2,2,0.5
1,-0.279,0.67,1,1,0.5
3,1,-0.357,3,3,0.5
3,0.058,-0.661,3,3,0.5
1,0.409,1.364,0,0,0.5
2,-0.364,-0.311,2,2,0.5
3,0.766,-0.601,3,3,0.5
3,0.399,0.173,3,0,0.5
2,-0.107,-0.105,1,2,0.5
0,1.109,0.33,0,0,0.5
3,1.314,-1.212,3,3,0.5
3,1.54,-0.783,3,3,0.5
1,-1.142,0.755,1,1,0.5
1,-1.125,1.759,1,1,0.5
3,0.725,-0.872,3,3,0.5
3,-0.258,-0.875,2,2,0.5
3,0.722,-0.674,3,3,0.5
1,-1.286,0.391,1,1,0.5
2,-0.994,-0.045,1,2,0.5
0,1.033,-0.386,3,3,0.5
1,-1.542,1.054,1,1,0.5
2,-1.55,-0.289,2,2,0.5
3,1.316,-0.934,3,3,0.5
1,-0.234,0.672,1,1,0.5
2,-0.696,-0.894,2,2,0.5
2,-0.364,-0.105,1,2,0.5
1,-0.669,0.356,1,1,0.5
3,0.682,-1.047,3,3,0.5
3,1.141,-0.988,3,3,0.5
2,-0.774,-1.994,2,2,0.5
3,0.788,-1.122,3,3,0.5
1,-1.625,0.328,1,1,0.5
2,-0.202,-0.247,2,2,0.5
2,-0.08,-0.337,3,2,0.5
1,-0.912,-0.083,1,2,0.5
1,-0.869,1.391,1,1,0.5
1,-0.052,1.415,1,1,0.5
3,1.029,-0.357,3,3,0.5
1,-2.001,0.655,1,1,0.5
3,1.283,-0.56,3,3,0.5
3,0.569,0.408,0,0,0.5
1,0.403,0.048,3,0,0.5
0,0.567,1.229,0,0,0.5
1,0.027,1.254,1,0,0.5
1,-1.093,-0.11,1,2,0.5
2,0.135,-0.48,3,3,0.5
0,1.851,0.294,3,0,0.5
3,0.764,-0.744,3,3,0.5
3,1.286,-0.849,3,3,0.5
2,-0.476,-0.504,2,2,0.5
3,1.713,-0.996,3,3,0.5
3,0.134,-1.247,3,3,0.5
1,-0.825,1.702,1,1,0.5
3,1.031,-0.891,3,3,0.5
3,1.22,-0.414,3,3,0.5
3,0.667,-0.713,3,3,0.5
3,0.25,-0.856,3,3,0.5
1,-0.744,1.649,1,1,0.5
1,-0.419,0.697,1,1,0.5
3,0.731,-0.401,3,3,0.5
3,0.359,-0.262,3,3,0.5
1,-1.316,-0.281,2,2,0.5
1,-0.61,0.409,1,1,0.5
1,-0.428,-0.219,2,2,0.5
1,-0.559,0.561,1,1,0.5
1,-1.18,1.566,1,1,0.5
2,-0.452,-1.107,2,2,0.5
3,1.107,-0.595,3,3,0.5
3,1.188,-1.084,3,3,0.5
1,0.764,1.848,0,0,0.5
0,-0.179,-0.119,1,2,0.5
2,-0.525,-0.261,2,2,0.5
1,0.334,1.031,0,0,0.5
1,-1.1,0.896,1,1,0.5
2,-0.908,-1.189,2,2,0.5
3,0.01,-0.574,3,3,0.5
1,-0.159,-0.079,1,2,0.5
3,0.233,-0.543,3,3,0.5
2,-1.03,-2.055,2,2,0.5
1,-0.219,-0.771,2,2,0.5
3,0.029,-0.534,3,3,0.5
3,0.453,-0.212,3,3,0.5
3,1.297,-1.164,3,3,0.5
1,-1.49,0.602,1,1,0.5
0,0.299,1.259,1,0,0.5
3,-0.009,-1.051,3,2,0.5
3,1.193,-0.798,3,3,0.5
3,0.231,-0.758,3,3,0.5
1,-0.305,1.017,1,1,0.5
1,-1.781,0.882,1,1,0.5
1,-0.452,-0.138,1,2,0.5
0,0.781,0.789,0,0,0.5
2,-0.355,-0.946,2,2,0.5
1,-0.984,1.116,1,1,0.5
1,-0.432,1.07,1,1,0.5
3,0.947,-0.557,3,3,0.5
3,0.316,-1.028,3,3,0.5
1,-0.283,1.373,1,1,0.5
1,-0.46,0.995,1,1,0.5
1,-1.386,1.042,1,1,0.5
3,1.232,-0.209,3,3,0.5
3,0.981,-0.23,3,3,0.5
3,1.456,0.57,0,0,0.5
3,0.546,-0.24,3,3,0.5
3,1.771,-1.63,3,3,0.5
3,1.815,-0.366,3,3,0.5
3,0.94,-0.114,3,3,0.5
3,0.794,-0.222,3,3,0.5
1,-0.115,1.128,1,1,0.5
2,-1.109,-1.875,2,2,0.5
1,-0.633,1.013,1,1,0.5
1,-1.244,-0.018,1,2,0.5
1,-2.241,0.806,1,1,0.5
3,-0.051,0.133,1,1,0.5
1,-0.715,1.174,1,1,0.5
3,1.378,-1.451,3,3,0.5
1,0.205,0.578,1,0,0.5
3,1.099,-0.875,3,3,0.5
3,0.66,-1.354,3,3,0.5
1,-0.901,0.348,1,1,0.5
1,-0.463,1.266,1,1,0.5
3,1.161,-0.543,3,3,0.5
3,0.857,-0.874,3,3,0.5
