m,r1,r2,mrec_map,mrec_ml,N0
3,0.548,-0.956,3,3,0.85
1,-0.72,1.327,1,1,0.85
1,0.488,-0.359,3,3,0.85
1,-0.722,0.073,1,1,0.85
1,-0.543,0.08,1,1,0.85
1,-1.15,1.268,1,1,0.85
2,-1.093,-0.881,2,2,0.85
1,-0.234,0.968,1,1,0.85
3,1.834,-0.074,3,3,0.85
1,-0.847,0.712,1,1,0.85
1,-0.448,1.697,1,1,0.85
2,-0.25,-0.265,3,2,0.85
3,-0.244,-1.797,3,2,0.85
3,0.33,-0.965,3,3,0.85
0,0.674,1.999,0,0,0.85
2,0.126,-2.098,3,3,0.85
2,-0.926,-1.438,2,2,0.85
1,-0.633,-0.044,1,2,0.85
1,-1.772,0.631,1,1,0.85
3,1.748,-0.659,3,3,0.85
3,0.914,-0.408,3,3,0.85
1,-0.028,-0.014,1,2,0.85
1,-0.726,0.315,1,1,0.85
1,-1.658,1.329,1,1,0.85
1,-0.845,0.698,1,1,0.85
1,-1.416,0.059,1,1,0.85
1,-0.577,0.597,1,1,0.85
1,-1.701,1.758,1,1,0.85
3,-1.15,-0.422,2,2,0.85
3,-0.804,0.001,1,1,0.85
3,0.923,-0.966,3,3,0.85
3,0.426,-0.687,3,3,0.85
3,0.575,0.222,3,0,0.85
0,0.879,0.385,3,0,0.85
3,0.978,-1.659,3,3,0.85
3,-0.03,-0.84,3,2,0.85
2,-1.274,-0.406,2,2,0.85
2,-0.567,-1.065,2,2,0.85
3,0.886,-1.176,3,3,0.85
3,1.425,-1.323,3,3,0.85
3,0.189,0.398,1,0,0.85
1,0.504,2.011,1,0,0.85
3,0.983,-2.435,3,3,0.85
2,-0.119,-0.093,1,2,0.85
2,-0.642,-1.487,2,2,0.85
1,-0.503,0.515,1,1,0.85
1,-1.043,0.65,1,1,0.85
3,1.341,-0.975,3,3,0.85
1,0.398,1.228,1,0,0.85
2,-0.906,-0.513,2,2,0.85
1,-0.67,0.594,1,1,0.85
1,-0.49,0.565,1,1,0.85
2,-0.192,0.55,1,1,0.85
3,1.287,0.019,3,0,0.85
3,1.223,0.603,0,0,0.85
2,0.078,-1.562,3,3,0.85
3,-0.047,-0.247,3,2,0.85
1,-1.225,0.87,1,1,0.85
1,-0.903,1.096,1,1,0.85
3,1.305,2.03,0,0,0.85
3,1.018,-1.328,3,3,0.85
2,-0.006,-0.734,3,2,0.85
3,1.883,-0.751,3,3,0.85
2,0.258,-0.743,3,3,0.85
3,0.692,-0.808,3,3,0.85
3,1.175,-1.428,3,3,0.85
2,-0.318,-1.619,3,2,0.85
2,-0.445,-0.655,2,2,0.85
2,0.01,-1.091,3,3,0.85
3,0.631,0.006,3,0,0.85
3,1.164,0.535,3,0,0.85
1,-1.174,0.564,1,1,0.85
3,0,0.597,1,0,0.85
0,1.761,1.762,0,0,0.85
3,0.719,-0.663,3,3,0.85
3,0.681,-0.573,3,3,0.85
1,0.874,0.92,0,0,0.85
3,0.858,-0.802,3,3,0.85
2,-1.546,0.697,1,1,0.85
3,1.068,-0.99,3,3,0.85
3,1.175,-0.439,3,3,0.85
2,-0.807,-0.758,2,2,0.85
0,0.561,-0.036,3,3,0.85
3,0.085,-2.172,3,3,0.85
3,1.36,-1.532,3,3,0.85
2,0.284,-0.243,3,3,0.85
1,-1.829,0.819,1,1,0.85
1,-0.751,0.668,1,1,0.85
2,-1.606,-0.886,2,2,0.85
2,-0.316,-1.154,3,2,0.85
2,-0.525,-1.002,2,2,0.85
1,-0.627,0.613,1,1,0.85
2,-0.965,-0.767,2,2,0.85
3,0.187,-0.322,3,3,0.85
0,1.128,1.257,0,0,0.85
3,0.407,0.22,3,0,0.85
1,-0.23,-0.31,3,2,0.85
1,-0.453,1.868,1,1,0.85
1,-0.653,-0.135,1,2,0.85
1,-0.498,0.199,1,1,0.85
1,-0.027,1.291,1,1,0.85
1,-1.457,-0.214,1,2,0.85
1,-0.482,0.827,1,1,0.85
3,1.205,-1.244,3,3,0.85
3,1.544,-0.824,3,3,0.85
2,-0.153,-0.329,3,2,0.85
3,0.632,0.265,3,0,0.85
1,-0.416,-0.129,1,2,0.85
3,0.215,-1.402,3,3,0.85
3,0.459,0.208,3,0,0.85
1,0.22,0.205,3,0,0.85
1,-0.34,1.271,1,1,0.85
2,-0.554,-1.263,2,2,0.85
0,0.507,1.541,1,0,0.85
3,1.211,-1.504,3,3,0.85
3,-0.072,-0.29,3,2,0.85
1,-0.329,0.76,1,1,0.85
1,-1.244,0.511,1,1,0.85
1,-0.777,1.652,1,1,0.85
1,-0.245,0.806,1,1,0.85
1,0.001,0.798,1,0,0.85
1,0.094,2.129,1,0,0.85
3,1.134,-0.72,3,3,0.85
3,0.85,-0.825,3,3,0.85
1,-0.99,0.301,1,1,0.85
3,1.568,-0.558,3,3,0.85
2,-0.529,-0.06,1,2,0.85
1,-1.372,1.515,1,1,0.85
2,-0.64,-0.672,2,2,0.85
1,-0.709,0.298,1,1,0.85
3,0.868,-0.405,3,3,0.85
1,-0.92,0.715,1,1,0.85
3,0.441,-0.643,3,3,0.85
3,1.464,-1.291,3,3,0.85
2,-0.667,-1.011,2,2,0.85
1,-1.495,0.678,1,1,0.85
0,1.3,0.45,3,0,0.85
3,0.172,-0.31,3,3,0.85
3,0.94,-1.194,3,3,0.85
2,-0.633,-1.406,2,2,0.85
