m,r1,r2,mrec_map,mrec_ml,N0
1,-0.699,0.642,1,1,0.05
3,0.546,-0.352,3,3,0.05
1,-0.344,0.828,1,1,0.05
3,0.772,-0.575,3,3,0.05
1,-0.773,0.28,1,1,0.05
2,-0.403,-0.457,2,2,0.05
1,-0.854,0.513,1,1,0.05
2,-0.485,-0.527,2,2,0.05
1,-0.828,0.528,1,1,0.05
1,-0.667,0.889,1,1,0.05
3,0.692,-0.599,3,3,0.05
3,0.751,-0.652,3,3,0.05
1,-0.708,0.871,1,1,0.05
1,-0.926,0.699,1,1,0.05
1,-0.829,1.058,1,1,0.05
3,0.515,-0.536,3,3,0.05
1,-0.723,0.679,1,1,0.05
2,-1.07,-0.481,2,2,0.05
1,-0.647,0.628,1,1,0.05
1,-0.776,0.546,1,1,0.05
1,-0.831,0.695,1,1,0.05
1,-0.788,0.43,1,1,0.05
2,-0.719,-0.67,2,2,0.05
2,-0.585,-0.618,2,2,0.05
1,-0.623,0.502,1,1,0.05
2,-0.81,-0.723,2,2,0.05
3,0.587,-0.725,3,3,0.05
1,-0.713,0.671,1,1,0.05
2,-0.791,-0.667,2,2,0.05
1,-0.844,0.612,1,1,0.05
1,-0.61,0.584,1,1,0.05
2,-0.702,-1.025,2,2,0.05
3,0.798,-0.661,3,3,0.05
3,0.908,-0.644,3,3,0.05
1,-0.572,0.78,1,1,0.05
3,0.619,-0.413,3,3,0.05
1,-0.469,0.53,1,1,0.05
0,0.515,0.764,0,0,0.05
1,-0.675,0.827,1,1,0.05
2,-0.665,-0.873,2,2,0.05
1,-0.9,0.572,1,1,0.05
0,0.777,0.472,0,0,0.05
3,0.387,-0.498,3,3,0.05
3,1.169,-0.593,3,3,0.05
3,0.795,-0.81,3,3,0.05
2,-0.55,-0.596,2,2,0.05
2,-1.007,-0.636,2,2,0.05
1,-0.456,0.923,1,1,0.05
3,0.808,-0.794,3,3,0.05
1,-0.557,0.63,1,1,0.05
3,0.498,-0.385,3,3,0.05
0,0.727,0.425,0,0,0.05
1,-0.67,0.49,1,1,0.05
1,-0.724,0.898,1,1,0.05
3,0.634,-0.584,3,3,0.05
3,0.932,-0.801,3,3,0.05
3,0.791,-0.542,3,3,0.05
2,-0.838,-0.955,2,2,0.05
3,0.652,-0.849,3,3,0.05
3,0.532,-0.774,3,3,0.05
0,0.918,0.697,0,0,0.05
1,-0.645,0.744,1,1,0.05
1,-0.745,0.78,1,1,0.05
2,-0.6,-0.633,2,2,0.05
1,-0.753,0.801,1,1,0.05
3,0.765,-0.793,3,3,0.05
0,0.572,0.778,0,0,0.05
1,-0.802,0.616,1,1,0.05
1,-0.47,0.662,1,1,0.05
3,0.596,-0.327,3,3,0.05
0,0.673,0.676,0,0,0.05
1,-0.651,1.028,1,1,0.05
3,0.865,-0.792,3,3,0.05
1,-0.734,0.619,1,1,0.05
1,-0.619,0.472,1,1,0.05
3,0.488,-0.678,3,3,0.05
3,0.859,-0.566,3,3,0.05
1,-0.581,0.691,1,1,0.05
1,-0.672,0.564,1,1,0.05
1,-0.816,0.483,1,1,0.05
1,-0.608,0.763,1,1,0.05
3,0.75,-0.68,3,3,0.05
3,0.761,-0.512,3,3,0.05
3,0.928,-0.645,3,3,0.05
1,-0.694,0.658,1,1,0.05
1,-0.553,1.22,1,1,0.05
1,-0.467,0.654,1,1,0.05
2,-0.779,-0.562,2,2,0.05
2,-0.666,-0.829,2,2,0.05
2,-0.787,-0.579,2,2,0.05
1,-0.635,0.635,1,1,0.05
3,0.655,-0.499,3,3,0.05
1,-0.606,0.639,1,1,0.05
2,-0.899,-0.658,2,2,0.05
3,1.015,-0.669,3,3,0.05
2,-0.76,-0.666,2,2,0.05
1,-0.665,0.794,1,1,0.05
1,-0.909,0.878,1,1,0.05
3,0.833,-1.066,3,3,0.05
3,0.976,-0.735,3,3,0.05
3,0.864,-0.965,3,3,0.05
1,-0.715,0.88,1,1,0.05
3,0.489,-0.757,3,3,0.05
3,0.653,-0.528,3,3,0.05
3,0.529,-0.75,3,3,0.05
3,0.629,-1.093,3,3,0.05
3,0.79,-0.698,3,3,0.05
3,0.959,-0.741,3,3,0.05
2,-0.555,-0.809,2,2,0.05
1,-0.808,0.97,1,1,0.05
3,0.588,-0.85,3,3,0.05
3,0.714,-0.644,3,3,0.05
1,-0.678,0.829,1,1,0.05
3,0.672,-0.599,3,3,0.05
3,0.855,-0.477,3,3,0.05
2,-0.674,-0.739,2,2,0.05
3,0.663,-0.546,3,3,0.05
3,0.976,-0.655,3,3,0.05
0,0.745,0.62,0,0,0.05
1,-0.752,0.711,1,1,0.05
3,0.769,-0.999,3,3,0.05
1,-0.643,0.971,1,1,0.05
2,-0.589,-0.877,2,2,0.05
1,-0.783,0.583,1,1,0.05
1,-0.717,0.567,1,1,0.05
3,0.867,-0.909,3,3,0.05
3,0.535,-0.775,3,3,0.05
1,-0.692,0.69,1,1,0.05
2,-0.649,-0.558,2,2,0.05
1,-0.96,0.873,1,1,0.05
3,0.656,-0.703,3,3,0.05
1,-0.645,0.602,1,1,0.05
2,-0.609,-0.828,2,2,0.05
2,-0.437,-0.615,2,2,0.05
1,-0.544,0.72,1,1,0.05
1,-0.855,0.559,1,1,0.05
1,-0.433,0.713,1,1,0.05
1,-0.535,0.686,1,1,0.05
1,-0.973,0.627,1,1,0.05
3,0.83,-1.125,3,3,0.05
3,0.668,-0.683,3,3,0.05
3,0.755,-0.83,3,3,0.05
0,0.8,0.58,0,0,0.05
1,-0.551,0.878,1,1,0.05
3,0.738,-0.705,3,3,0.05
1,-0.591,0.791,1,1,0.05
3,0.838,-0.622,3,3,0.05
3,0.671,-1.091,3,3,0.05
2,-0.584,-0.705,2,2,0.05
3,0.78,-0.644,3,3,0.05
0,0.87,0.722,0,0,0.05
3,0.481,-1.034,3,3,0.05
0,0.673,0.489,0,0,0.05
3,0.466,-0.6,3,3,0.05
2,-0.739,-0.487,2,2,0.05
3,0.668,-0.803,3,3,0.05
1,-0.531,0.74,1,1,0.05
1,-0.822,0.298,1,1,0.05
1,-0.412,0.728,1,1,0.05
3,0.772,-0.535,3,3,0.05
1,-0.688,0.938,1,1,0.05
3,0.64,-0.706,3,3,0.05
3,0.577,-0.653,3,3,0.05
1,-0.641,0.653,1,1,0.05
1,-0.843,0.498,1,1,0.05
3,0.555,-0.687,3,3,0.05
1,-0.461,0.637,1,1,0.05
3,0.585,-0.752,3,3,0.05
3,0.659,-0.789,3,3,0.05
2,-0.765,-0.882,2,2,0.05
1,-0.685,0.632,1,1,0.05
1,-0.966,0.712,1,1,0.05
1,-0.729,0.486,1,1,0.05
3,0.812,-0.695,3,3,0.05
0,0.865,0.603,0,0,0.05
1,-0.604,1.004,1,1,0.05
1,-0.793,0.979,1,1,0.05
2,-0.54,-0.613,2,2,0.05
1,-0.831,0.802,1,1,0.05
3,0.988,-0.803,3,3,0.05
1,-0.647,0.787,1,1,0.05
3,0.636,-0.72,3,3,0.05
0,0.785,0.804,0,0,0.05
3,0.682,-0.888,3,3,0.05
3,0.639,-0.73,3,3,0.05
2,-0.726,-0.829,2,2,0.05
3,0.588,-0.707,3,3,0.05
1,-0.807,0.808,1,1,0.05
1,-0.56,0.852,1,1,0.05
3,0.743,-1.035,3,3,0.05
3,0.585,-0.781,3,3,0.05
1,-0.899,0.638,1,1,0.05
3,0.616,-0.766,3,3,0.05
1,-0.528,0.712,1,1,0.05
3,0.705,-0.777,3,3,0.05
1,-0.67,0.902,1,1,0.05
1,-0.772,0.981,1,1,0.05
1,-0.744,0.755,1,1,0.05
1,-0.933,0.493,1,1,0.05
3,0.608,-0.982,3,3,0.05
3,0.75,-0.426,3,3,0.05
1,-0.862,0.528,1,1,0.05
2,-0.614,-0.687,2,2,0.05
1,-0.689,0.444,1,1,0.05
3,0.73,-0.959,3,3,0.05
1,-0.821,0.612,1,1,0.05
3,0.625,-0.667,3,3,0.05
3,0.624,-0.921,3,3,0.05
2,-0.557,-0.761,2,2,0.05
1,-0.661,0.673,1,1,0.05
3,0.806,-0.795,3,3,0.05
1,-0.972,0.908,1,1,0.05
3,0.698,-0.611,3,3,0.05
1,-0.336,0.768,1,1,0.05
1,-0.458,0.896,1,1,0.05
1,-0.535,0.831,1,1,0.05
1,-0.57,0.77,1,1,0.05
2,-0.854,-0.549,2,2,0.05
2,-0.692,-0.496,2,2,0.05
3,0.706,-0.741,3,3,0.05
3,0.923,-0.89,3,3,0.05
3,0.969,-0.835,3,3,0.05
1,-0.785,0.683,1,1,0.05
3,1.101,-0.667,3,3,0.05
3,0.566,-0.783,3,3,0.05
3,0.849,-0.675,3,3,0.05
3,0.6,-0.719,3,3,0.05
3,0.601,-0.587,3,3,0.05
3,0.636,-0.542,3,3,0.05
3,0.659,-0.635,3,3,0.05
1,-0.77,0.699,1,1,0.05
2,-0.619,-0.748,2,2,0.05
1,-0.703,0.859,1,1,0.05
3,0.798,-0.776,3,3,0.05
2,-0.498,-0.937,2,2,0.05
2,-0.816,-0.777,2,2,0.05
1,-0.763,0.66,1,1,0.05
2,-0.64,-0.661,2,2,0.05
2,-0.639,-0.834,2,2,0.05
1,-0.664,0.841,1,1,0.05
2,-0.702,-0.644,2,2,0.05
3,0.745,-0.567,3,3,0.05
3,0.839,-0.786,3,3,0.05
3,0.701,-0.791,3,3,0.05
1,-0.526,0.318,1,1,0.05
2,-0.976,-0.599,2,2,0.05
0,0.532,0.947,0,0,0.05
3,0.56,-0.726,3,3,0.05
3,0.791,-0.758,3,3,0.05
1,-0.759,0.511,1,1,0.05
2,-0.522,-0.62,2,2,0.05
3,0.725,-0.557,3,3,0.05
3,0.562,-0.746,3,3,0.05
0,0.76,0.679,0,0,0.05
2,-0.908,-0.721,2,2,0.05
3,0.686,-0.52,3,3,0.05
0,0.639,0.73,0,0,0.05
1,-0.86,0.75,1,1,0.05
1,-0.592,0.868,1,1,0.05
1,-0.464,0.709,1,1,0.05
3,0.49,-0.822,3,3,0.05
2,-0.893,-0.807,2,2,0.05
3,0.691,-0.778,3,3,0.05
1,-0.717,0.746,1,1,0.05
3,0.775,-0.924,3,3,0.05
3,0.561,-0.381,3,3,0.05
1,-0.663,0.517,1,1,0.05
1,-0.602,0.653,1,1,0.05
1,-1.044,0.779,1,1,0.05
3,0.988,-0.892,3,3,0.05
3,0.842,-0.556,3,3,0.05
1,-1.108,1.01,1,1,0.05
2,-0.93,-0.995,2,2,0.05
1,-1.019,0.881,1,1,0.05
2,-0.507,-0.724,2,2,0.05
1,-0.547,1.226,1,1,0.05
3,0.941,-0.888,3,3,0.05
3,0.69,-0.6,3,3,0.05
1,-0.847,0.792,1,1,0.05
3,0.641,-0.542,3,3,0.05
1,-0.701,0.839,1,1,0.05
1,-0.485,0.751,1,1,0.05
1,-0.798,0.875,1,1,0.05
1,-0.634,0.676,1,1,0.05
2,-0.517,-0.607,2,2,0.05
3,0.781,-0.382,3,3,0.05
1,-0.624,0.584,1,1,0.05
1,-0.731,0.429,1,1,0.05
2,-0.802,-0.626,2,2,0.05
3,0.667,-0.789,3,3,0.05
1,-0.195,0.558,1,1,0.05
0,0.705,0.639,0,0,0.05
2,-0.593,-0.686,2,2,0.05
0,0.51,0.531,0,0,0.05
1,-0.42,0.963,1,1,0.05
3,0.38,-0.493,3,3,0.05
1,-0.699,0.391,1,1,0.05
1,-0.853,0.817,1,1,0.05
1,-0.624,0.666,1,1,0.05
3,0.729,-0.477,3,3,0.05
2,-0.55,-0.978,2,2,0.05
3,0.405,-0.828,3,3,0.05
3,0.727,-0.745,3,3,0.05
2,-0.953,-0.734,2,2,0.05
3,0.805,-0.737,3,3,0.05
1,-0.786,0.677,1,1,0.05
1,-0.594,0.563,1,1,0.05
3,0.811,-0.823,3,3,0.05
2,-0.732,-0.832,2,2,0.05
3,0.729,-0.993,3,3,0.05
1,-0.835,0.44,1,1,0.05
1,-0.969,0.77,1,1,0.05
3,0.675,-0.974,3,3,0.05
3,0.503,-0.65,3,3,0.05
1,-0.705,0.777,1,1,0.05
3,0.747,-0.724,3,3,0.05
3,0.451,-0.462,3,3,0.05
3,0.842,-0.763,3,3,0.05
1,-0.669,0.872,1,1,0.05
0,0.651,0.66,0,0,0.05
1,-0.653,0.803,1,1,0.05
3,0.694,-0.603,3,3,0.05
3,0.585,-0.545,3,3,0.05
1,-0.664,0.579,1,1,0.05
1,-0.617,1.049,1,1,0.05
3,1.02,-0.644,3,3,0.05
1,-0.696,0.715,1,1,0.05
1,-0.483,0.474,1,1,0.05
2,-0.492,-0.799,2,2,0.05
1,-0.615,0.855,1,1,0.05
3,0.976,-0.914,3,3,0.05
1,-0.787,1.119,1,1,0.05
2,-0.705,-0.797,2,2,0.05
3,0.75,-0.888,3,3,0.05
1,-0.671,0.931,1,1,0.05
3,0.883,-0.596,3,3,0.05
1,-0.609,0.778,1,1,0.05
3,0.625,-0.839,3,3,0.05
3,0.536,-1.043,3,3,0.05
1,-0.672,0.752,1,1,0.05
3,0.751,-0.699,3,3,0.05
3,0.427,-0.697,3,3,0.05
1,-0.801,0.561,1,1,0.05
3,0.712,-0.641,3,3,0.05
3,0.358,-0.556,3,3,0.05
2,-0.864,-0.736,2,2,0.05
