m,r1,r2,mrec_map,mrec_ml,N0
1,-0.537,1.445,1,1,0.9
3,1.935,-0.603,3,3,0.9
3,0.558,0.564,1,0,0.9
2,-1.51,0.356,1,1,0.9
3,1.723,-0.167,3,3,0.9
3,0.716,-0.613,3,3,0.9
2,-0.018,-0.213,3,2,0.9
3,-0.432,-0.874,2,2,0.9
0,-0.648,1.023,1,1,0.9
3,-0.027,-0.187,3,2,0.9
2,-0.866,0.403,1,1,0.9
2,-0.95,-0.176,1,2,0.9
1,-1.693,1.368,1,1,0.9
3,0.4,-0.704,3,3,0.9
1,-1.572,1.466,1,1,0.9
1,-0.669,-0.418,2,2,0.9
1,0.681,0.946,0,0,0.9
1,0.283,0.559,1,0,0.9
3,2.088,-0.455,3,3,0.9
3,1.54,-1.404,3,3,0.9
2,-1.504,0.136,1,1,0.9
3,-0.238,-0.47,3,2,0.9
1,-0.783,-0.575,2,2,0.9
3,0.978,-0.636,3,3,0.9
3,0.288,-0.085,3,3,0.9
1,-0.459,0.796,1,1,0.9
1,-0.766,1.34,1,1,0.9
1,-1.368,0.312,1,1,0.9
1,-0.724,0.068,1,1,0.9
3,-0.058,-0.789,3,2,0.9
1,-0.868,-0.196,1,2,0.9
3,0.219,-1.208,3,3,0.9
3,1.217,-0.559,3,3,0.9
1,0.329,0.478,1,0,0.9
1,-0.593,1.726,1,1,0.9
1,-1.117,1.346,1,1,0.9
1,0.011,-0.065,3,3,0.9
2,-0.669,-1.065,2,2,0.9
3,0.184,-0.402,3,3,0.9
1,-0.922,1.643,1,1,0.9
1,-0.122,0.37,1,1,0.9
3,-0.05,-0.513,3,2,0.9
3,0.29,-0.055,3,3,0.9
1,-1.194,1.469,1,1,0.9
3,0.669,-0.004,3,3,0.9
1,0.096,-0.27,3,3,0.9
3,0.189,-1.026,3,3,0.9
1,-0.538,1.17,1,1,0.9
0,0.711,1.554,0,0,0.9
3,1.251,-1.046,3,3,0.9
1,-0.959,-1.12,2,2,0.9
1,0.056,1.067,1,0,0.9
3,2.659,-0.01,3,3,0.9
1,-1.334,0.121,1,1,0.9
1,-0.284,-0.039,1,2,0.9
2,-1.395,-0.218,1,2,0.9
0,-0.234,-0.104,1,2,0.9
1,-0.588,-0.355,2,2,0.9
3,0.081,-0.21,3,3,0.9
2,-0.39,-1.322,2,2,0.9
3,0.571,-0.321,3,3,0.9
3,0.529,-1.006,3,3,0.9
1,-0.183,-0.014,1,2,0.9
0,-0.04,0.649,1,1,0.9
2,0.249,-0.036,3,3,0.9
1,-1.62,0.955,1,1,0.9
3,0.186,0.944,1,0,0.9
1,-1.441,0.703,1,1,0.9
3,1.559,-1.74,3,3,0.9
1,-1.636,-0.136,1,2,0.9
