m,r1,r2,mrec_map,mrec_ml,N0
3,0.429,-0.884,3,3,0.7
1,-1.307,0.663,1,1,0.7
3,0.095,1.034,1,0,0.7
1,-1.985,0.766,1,1,0.7
1,0.097,0.826,1,0,0.7
3,0.309,-0.594,3,3,0.7
3,0.678,-0.396,3,3,0.7
3,0.98,-1.463,3,3,0.7
1,0.032,0.63,1,0,0.7
1,-0.154,1.198,1,1,0.7
3,0.048,-0.06,3,3,0.7
2,-0.972,-1.552,2,2,0.7
3,1.886,-1.333,3,3,0.7
2,-1.603,0.066,1,1,0.7
2,-0.841,-0.824,2,2,0.7
3,1.151,-0.458,3,3,0.7
3,0.98,-1.012,3,3,0.7
1,-0.536,0.457,1,1,0.7
3,1.225,-1.075,3,3,0.7
1,-0.665,0.974,1,1,0.7
1,0.09,0.666,1,0,0.7
1,-0.292,0.154,1,1,0.7
1,-1.335,1.238,1,1,0.7
1,-0.595,0.613,1,1,0.7
1,-0.279,0.655,1,1,0.7
0,0.325,1.111,1,0,0.7
3,1.288,-0.942,3,3,0.7
1,-1.806,0.952,1,1,0.7
3,1.321,-0.279,3,3,0.7
3,0.773,-1.102,3,3,0.7
1,-0.74,1.738,1,1,0.7
3,1.198,-1.774,3,3,0.7
3,0.861,-0.74,3,3,0.7
1,-0.645,1.545,1,1,0.7
3,1.015,-1.436,3,3,0.7
3,-0.481,-1.681,2,2,0.7
3,0.581,-0.276,3,3,0.7
3,0.842,-0.797,3,3,0.7
1,0.15,0.626,1,0,0.7
3,0.872,-0.406,3,3,0.7
0,0.307,0.598,1,0,0.7
3,0.407,-0.698,3,3,0.7
3,1.706,-1.241,3,3,0.7
3,1.68,-0.304,3,3,0.7
3,0.539,-0.685,3,3,0.7
3,0.262,-1.098,3,3,0.7
3,1.521,0.297,3,0,0.7
3,1.43,-1.109,3,3,0.7
1,-1.243,0.868,1,1,0.7
3,-0.385,-0.897,2,2,0.7
1,-0.055,0.367,1,1,0.7
3,1.116,-0.417,3,3,0.7
3,0.445,-0.648,3,3,0.7
1,-0.643,-0.302,2,2,0.7
1,-0.697,0.659,1,1,0.7
1,-1.211,0.367,1,1,0.7
0,1.174,1.134,0,0,0.7
3,0.629,-1.222,3,3,0.7
0,1.532,1.084,0,0,0.7
3,1.14,-1.287,3,3,0.7
1,-0.6,0.733,1,1,0.7
3,1.672,-1.619,3,3,0.7
3,0.613,0.034,3,0,0.7
3,0.558,-0.284,3,3,0.7
3,0.061,-1.076,3,3,0.7
3,0.435,-1.129,3,3,0.7
3,1.212,-0.685,3,3,0.7
2,-1.621,0.041,1,1,0.7
1,-0.234,0.929,1,1,0.7
2,-0.872,-0.145,1,2,0.7
2,-1.734,-1.312,2,2,0.7
3,0.504,-1.354,3,3,0.7
1,-1.162,1.726,1,1,0.7
2,-0.639,-0.995,2,2,0.7
3,1.104,-1.491,3,3,0.7
3,0.216,-0.345,3,3,0.7
1,-0.25,0.303,1,1,0.7
1,-0.96,1.996,1,1,0.7
3,1.315,0.035,3,0,0.7
1,-0.693,1.234,1,1,0.7
3,0.7,-1.154,3,3,0.7
3,1.167,-0.522,3,3,0.7
1,-1.174,1.113,1,1,0.7
1,-0.263,0.506,1,1,0.7
3,-0.105,-0.428,3,2,0.7
0,0.17,0.5,1,0,0.7
3,1.557,-1.115,3,3,0.7
