m,r1,r2,mrec_map,mrec_ml,N0
3,1.209,0.196,3,0,0.95
1,-0.86,0.651,1,1,0.95
1,-0.836,0.519,1,1,0.95
1,-1.581,2.181,1,1,0.95
3,1.057,-1.829,3,3,0.95
1,-0.835,1.401,1,1,0.95
0,0.629,1.922,0,0,0.95
1,-0.906,0.754,1,1,0.95
2,-0.301,-1.03,3,2,0.95
0,0.683,-0.78,3,3,0.95
1,-1.197,1.089,1,1,0.95
0,0.229,0.839,1,0,0.95
1,0.125,-0.325,3,3,0.95
1,-0.548,0.998,1,1,0.95
0,1.084,0.895,0,0,0.95
3,1.137,-1.335,3,3,0.95
3,0.468,-1.632,3,3,0.95
3,1.096,-0.426,3,3,0.95
1,0.236,0.827,1,0,0.95
3,0.644,-0.621,3,3,0.95
1,-1.218,-0.857,2,2,0.95
0,2.015,-0.658,3,3,0.95
3,1.216,-0.795,3,3,0.95
2,-0.949,-0.839,2,2,0.95
0,1.965,0.634,0,0,0.95
1,-1.035,1.621,1,1,0.95
3,0.618,-0.712,3,3,0.95
1,-0.685,-0.064,1,2,0.95
3,0.238,-0.893,3,3,0.95
2,-0.521,-1.449,2,2,0.95
3,1.575,-1.674,3,3,0.95
1,-0.233,0.758,1,1,0.95
0,0.776,-0.078,3,3,0.95
1,-1.201,1.473,1,1,0.95
1,-1.532,-0.596,2,2,0.95
1,0.106,-0.106,3,3,0.95
3,0.484,-1.567,3,3,0.95
1,-0.238,0.18,1,1,0.95
3,1.48,-0.52,3,3,0.95
0,0.471,0.241,3,0,0.95
0,0.87,0.997,0,0,0.95
3,0.604,-1.708,3,3,0.95
3,2.448,-1.934,3,3,0.95
1,-1.138,0.027,1,1,0.95
3,2.162,-0.904,3,3,0.95
1,-1.379,1.654,1,1,0.95
3,0.289,-0.577,3,3,0.95
1,-1.227,0.188,1,1,0.95
2,0.43,-1.204,3,3,0.95
3,0.888,-1.231,3,3,0.95
1,-0.215,0.984,1,1,0.95
1,-0.034,-0.128,3,2,0.95
1,-0.296,1.045,1,1,0.95
3,0.834,0.131,3,0,0.95
1,-0.953,1.28,1,1,0.95
2,-0.288,1.002,1,1,0.95
3,1.227,-1.25,3,3,0.95
3,0.887,0.927,0,0,0.95
2,-0.452,-1.114,2,2,0.95
2,-1.707,0.543,1,1,0.95
1,-0.994,0.38,1,1,0.95
3,-0.085,-0.179,3,2,0.95
3,0.021,0.191,1,0,0.95
1,-1.414,0.815,1,1,0.95
3,0.217,-0.6,3,3,0.95
3,2.102,-1.166,3,3,0.95
3,0.668,0.026,3,0,0.95
3,1.561,-1.377,3,3,0.95
1,-0.777,0.955,1,1,0.95
2,-0.228,-1.576,3,2,0.95
2,-1.118,-0.328,1,2,0.95
1,-0.078,0.615,1,1,0.95
1,-1.446,0.746,1,1,0.95
1,-0.095,0.804,1,1,0.95
1,-0.728,1.644,1,1,0.95
3,0.026,-0.996,3,3,0.95
1,-0.934,1.718,1,1,0.95
2,-0.58,-0.399,2,2,0.95
3,0.354,-1.106,3,3,0.95
3,1.175,-0.223,3,3,0.95
0,1.213,0.409,3,0,0.95
1,-1.23,1.799,1,1,0.95
1,-0.059,0.538,1,1,0.95
1,-0.287,1.501,1,1,0.95
3,1.11,-0.801,3,3,0.95
0,0.512,0.495,3,0,0.95
2,-1.03,-0.804,2,2,0.95
2,-0.315,-0.026,1,2,0.95
1,-2.302,1.42,1,1,0.95
1,-0.699,0.398,1,1,0.95
1,-0.98,2.605,1,1,0.95
3,0.829,-2.236,3,3,0.95
3,1.991,-0.652,3,3,0.95
3,0.432,-0.35,3,3,0.95
2,-1.495,-0.833,2,2,0.95
3,1.045,-0.36,3,3,0.95
1,-0.096,0.904,1,1,0.95
3,-0.65,-1.621,2,2,0.95
3,0.214,-1.231,3,3,0.95
3,0.066,-0.907,3,3,0.95
1,-1.349,0.815,1,1,0.95
1,-1.053,0.11,1,1,0.95
3,0.133,0.333,1,0,0.95
3,-0.05,-1.492,3,2,0.95
3,1.775,-1.921,3,3,0.95
1,-1.702,1.855,1,1,0.95
3,1.694,-0.247,3,3,0.95
3,0.234,-0.628,3,3,0.95
3,1.316,0.694,0,0,0.95
3,0.527,-0.927,3,3,0.95
1,-1.002,0.469,1,1,0.95
1,0.081,1.209,1,0,0.95
1,-0.495,0.43,1,1,0.95
1,-0.675,1.173,1,1,0.95
0,0.089,0.862,1,0,0.95
3,0.583,-0.857,3,3,0.95
0,0.172,0.279,1,0,0.95
3,0.866,-0.526,3,3,0.95
1,-0.805,1.309,1,1,0.95
3,1.665,-1.074,3,3,0.95
3,1.418,-1.003,3,3,0.95
2,-0.933,-1.99,2,2,0.95
0,0.229,0.126,3,0,0.95
3,0.475,-0.449,3,3,0.95
3,0.922,-0.491,3,3,0.95
3,1.901,-1.115,3,3,0.95
3,1.036,-0.014,3,3,0.95
2,-0.966,0.142,1,1,0.95
1,-0.42,0.23,1,1,0.95
1,-0.542,0.031,1,1,0.95
1,0.237,1.176,1,0,0.95
1,-0.308,-0.011,1,2,0.95
1,-0.377,0.667,1,1,0.95
2,-0.545,-0.765,2,2,0.95
3,1.938,-0.414,3,3,0.95
2,-0.895,0.967,1,1,0.95
0,0.52,1.443,1,0,0.95
1,-0.702,1.236,1,1,0.95
2,-1.562,0.133,1,1,0.95
3,0.413,-1.405,3,3,0.95
3,0.004,0.486,1,0,0.95
1,-1.378,-0.182,1,2,0.95
3,0.675,-1.865,3,3,0.95
1,-0.07,1.164,1,1,0.95
1,0.239,1.052,1,0,0.95
1,-2.05,1.186,1,1,0.95
1,-1.571,0.403,1,1,0.95
1,-1.867,-0.408,2,2,0.95
1,-0.281,0.462,1,1,0.95
1,-1.117,1.641,1,1,0.95
1,-1.145,0.242,1,1,0.95
1,-1.55,1.798,1,1,0.95
0,1.947,0.067,3,0,0.95
3,1.261,-0.351,3,3,0.95
3,0.957,-1.686,3,3,0.95
0,0.847,0.908,0,0,0.95
3,0.729,-0.171,3,3,0.95
1,-0.727,0.863,1,1,0.95
3,-0.104,0.359,1,1,0.95
1,0.086,1.202,1,0,0.95
2,0.093,0.082,3,0,0.95
2,-0.754,-0.791,2,2,0.95
1,-0.678,0.636,1,1,0.95
3,-0.102,-0.821,3,2,0.95
3,-0.042,0.162,1,1,0.95
3,1.059,0.146,3,0,0.95
1,-0.716,-0.297,1,2,0.95
3,0.853,-0.294,3,3,0.95
3,1.411,-1.248,3,3,0.95
0,0.982,0.736,0,0,0.95
2,-0.496,-0.127,1,2,0.95
2,0.463,-0.413,3,3,0.95
2,-0.048,-0.946,3,2,0.95
1,0.121,0.552,1,0,0.95
3,0.389,-1.305,3,3,0.95
3,0.338,-0.935,3,3,0.95
3,0.18,-0.2,3,3,0.95
1,-0.805,0.974,1,1,0.95
1,-0.932,1.15,1,1,0.95
1,0.476,-0.186,3,3,0.95
2,-0.952,0.077,1,1,0.95
1,-0.746,0.689,1,1,0.95
3,-0.257,-1.006,3,2,0.95
3,0.449,-0.777,3,3,0.95
3,0.712,-0.789,3,3,0.95
0,0.102,-0.147,3,3,0.95
0,-0.295,0.842,1,1,0.95
1,-0.79,1.683,1,1,0.95
2,-0.427,-0.849,2,2,0.95
3,0.193,0.519,1,0,0.95
1,-1.011,0.324,1,1,0.95
2,-0.197,-0.184,1,2,0.95
3,1.094,0.212,3,0,0.95
1,-1.349,1.124,1,1,0.95
3,1.417,-0.76,3,3,0.95
1,-3.053,0.646,1,1,0.95
1,0.286,1.067,1,0,0.95
1,-0.659,1.466,1,1,0.95
1,-1.245,0.394,1,1,0.95
1,-0.505,0.872,1,1,0.95
3,1.805,-1.079,3,3,0.95
2,-0.765,0.508,1,1,0.95
1,-0.089,-0.194,3,2,0.95
3,1.824,0.369,3,0,0.95
1,0.012,0.27,1,0,0.95
1,-1.776,-0.711,2,2,0.95
